1	Nox Metals	Industrials · Manufacturing		AI-powered aluminum plate supplier	AI 驱动的铝板供应商
2	Blue	Consumer		ChatGPT-powered voice assistant for iPhone	由 ChatGPT 驱动的 iPhone 语音助手
3	Paloma	B2B		Embedded AI software for manufacturers	面向制造商的嵌入式 AI 软件
4	Uplift AI	B2B · Voice		Pakistani language AI voice models	巴基斯坦语种的 AI 语音模型
5	RealRoots	Consumer · Social		Matched friendship groups for women 21+	为 21 岁以上女性匹配的交友小组
6	Luminal	B2B · Infrastructure		Fastest AI inference cloud service	最快的 AI 推理云服务
7	Freya Voice A.I.	B2B · Voice		AI voice agents for enterprise calls	面向企业通话的 AI 语音智能体
8	Getburnt	B2B · Supply Chain		AI agents for food distribution	食品分销的 AI 智能体
9	Avent	B2B		AI agents for industrial commerce	工业商贸的 AI 智能体
10	Veritus	Fintech · Lending		AI agents for consumer lending services	消费信贷服务的 AI 智能体
11	Outrove	B2B · Recruiting		Autonomous AI recruiter for hiring workflows	自主化的 AI 招聘官
12	NOSO	Industrials		AI agents for field service teams	现场服务团队的 AI 智能体
13	Vulcan Technologies	B2B · Legal		AI legal tech for government agencies	面向政府机构的 AI 法律科技
14	Spotlight Realty	Real Estate		AI-powered NYC realty brokerage	AI 驱动的纽约房产经纪
15	Interfere	B2B · Engineering		Self-healing production visibility for shipped software	上线软件的自愈式生产可见性
16	Munify	Fintech · Payments		Borderless banking for cross-border payments	面向跨境支付的无国界银行
17	RowFlow	B2B · Operations		AI-driven conversational data collection	AI 对话式数据采集平台
18	Tecto	B2B		AI governance platform	AI 治理平台
19	Duranium	Industrials · Manufacturing		Metal reactor tech for U.S. independence	面向美国自给的金属冶炼反应器技术
20	Perspectives Health	Healthcare		AI for behavioral health approvals	面向行为健康审批的 AI
21	Modelence	B2B · Infrastructure		Full-stack AI app builder for production apps	面向生产级应用的全栈 AI 应用搭建器
22	Magnetic	B2B · Finance		AI tax prep for CPA firms	面向会计师事务所的 AI 报税
23	Fleetline	B2B · Logistics		AI dispatch engine for trucking fleets	卡车车队的 AI 调度引擎
24	Clodo	B2B · Recruiting		Planet-scale AI people search	全球规模的 AI 人才搜索
25	stagewise	B2B · Dev Tools		Open-source agentic IDE for developers	面向开发者的开源智能体 IDE
26	Flywheel AI	Industrials · Robotics		Remote excavator control for construction	面向工程的挖掘机远程操控
27	Vibe Code Go	B2B · Dev Tools		Mobile app for coding on the go	随时随地写代码的移动应用
28	Juxta	B2B		Universal Positioning System for precise tracking	用于精准定位的通用定位系统
29	Okibi	B2B		Natural-language AI agent builder	自然语言 AI 智能体搭建器
30	dScribe AI	B2B · Supply Chain		3D vision AI for bulk inventory tracking	面向散货库存盘点的 3D 视觉 AI
31	Kernel	B2B · Infrastructure		Browser infrastructure for web agents	面向网页智能体的浏览器基础设施
32	Reacher	B2B · Marketing		AI affiliate manager for TikTok Shop brands	面向 TikTok Shop 品牌的 AI 联盟营销管理
33	Certus AI	B2B · Voice		Restaurant voice AI for phone orders	餐厅电话点单的语音 AI
34	Hera.video	B2B · Content		AI motion designer for branded videos	品牌视频的 AI 动效设计师
35	Notte Labs	B2B · Infrastructure		Browser infrastructure for AI agents	面向 AI 智能体的浏览器基础设施
36	Pally	B2B · Productivity		Privacy-first AI unified inbox	隐私优先的 AI 统一收件箱
37	Locata	Healthcare		AI referral management for primary care	面向全科医疗的 AI 转诊管理
38	Pleom	B2B · Analytics		Agentic business intelligence for company data	面向公司数据的智能体 BI
39	Convexia	Healthcare · Drug Discovery		AI agents for drug sourcing and diligence	药物寻源与尽调的 AI 智能体
40	Sigmantic	B2B · Engineering		AI agent for chip design	芯片设计的 AI 智能体
41	Opennote	Education		AI notebook for notes, videos, quizzes	集笔记/视频/测验于一体的 AI 笔记本
42	Sira	B2B · HR		AI workforce management for hourly teams	面向时薪团队的 AI 用工管理
43	F4 Industries	Industrials		GD&T analysis software for engineering drawings	面向工程图纸的形位公差(GD&T)分析软件
44	Metis	B2B · Infrastructure		Enterprise agent learning and evaluation layer	企业智能体的学习与评测层
45	Eden	B2B · Marketing		AI-driven email marketing for personalized campaigns	面向个性化投放的 AI 邮件营销
46	Altur	B2B · Voice		Voice AI agents for debt collection	面向催收的语音 AI 智能体
47	PARES	Real Estate		AI-native real estate services firm	AI 原生的房地产服务公司
48	Avelis Health	Healthcare		AI claims auditing for health plans	面向健康险计划的 AI 理赔审核
49	Nautilus	B2B · Sales		Car wash platform for sales and memberships	面向销售与会员的洗车门店平台
50	Humoniq	B2B · Voice		Voice AI travel support and operations	旅行客服与运营的语音 AI
51	Palace	Fintech · Asset Mgmt		AI investment monitoring for private equity	面向私募的 AI 投资监控平台
52	Floot	B2B · Dev Tools		AI app and website builder for non-coders	面向非程序员的 AI 应用与网站搭建器
53	ALARA Dental	B2B		Dental supply comparison and ordering platform	牙科耗材比价与下单平台
54	Socratix	B2B · Operations		Autonomous AI analysts for fraud teams	面向反欺诈团队的自主 AI 分析师
55	Minimal AI	B2B		AI customer support agents for e-commerce	面向电商的 AI 客服智能体
56	Risely AI	Education		Agentic AI for higher education campuses	面向高校的智能体 AI
57	Omnara	B2B · Dev Tools		Command center for coding agents	编码智能体的指挥中心
58	Knowlify	B2B · Content		AI video agency for business explainers	面向企业讲解视频的 AI 视频代理
59	Autosana	B2B · Engineering		AI-native E2E testing for mobile apps	面向移动应用的 AI 原生端到端测试
60	April	Consumer		AI voice assistant for email and calendar	邮件与日历的 AI 语音助手
61	IronGrid	Industrials · Robotics		Robotics and frontier hardware venture	机器人与前沿硬件创业公司
62	Finto	B2B · Finance		AI platform for automated invoice processing	发票自动化处理的 AI 平台
63	Motives	B2B · Research		AI qualitative research with 48-hour reports	48 小时出报告的 AI 定性调研
64	Relling	B2B · Infrastructure		Models trained on raw video experience	基于原始视频经验训练的模型
65	Hyprnote	B2B · Productivity		Open-source AI notetaker prioritizing privacy	隐私优先的开源 AI 会议记录
66	Novaflow	Healthcare		AI data analyst for biology labs	面向生物实验室的 AI 数据分析师
67	Perseus Defense	Industrials · Defense		Counter-UAS micro-missile defense systems	反无人机微型导弹防御系统
68	Phases	Healthcare		AI agents for clinical trial oversight	临床试验监管的 AI 智能体
69	Solva Technology	Fintech · Insurance		AI for insurance claims outcomes	面向保险理赔结果的 AI
70	Albacore	Industrials · Defense		Mass-producible long-range drone submarines	可量产的远程无人潜航器
71	Riff	Consumer		Personalized children's storybooks with AI	AI 个性化儿童绘本
72	Mohi	B2B · Operations		AI monitoring and optimization for agents	AI 智能体的监控与优化平台
73	Mimos AI	B2B · Marketing		AI agents for automated search marketing	搜索营销自动化的 AI 智能体
74	Nozomio Labs	B2B · AI		Applied AI lab for context engineering	专注上下文工程的应用 AI 实验室
75	VibeFlow	B2B		Prompt-to-app workflows with owned code	提示词转应用、代码归你所有的工作流
76	Comena	B2B · Supply Chain		AI agents for B2B order intake	面向 B2B 订单录入的 AI 智能体
77	Normal Factory	Industrials		Hardware certification software for compliance	面向合规的硬件认证软件
78	GhostEye	B2B · Security		Human-layer security testing platform	面向人因层的安全测试平台
79	Channel3	B2B · Retail		Agentic commerce API for product discovery	面向商品发现的智能体电商 API
80	Epicenter	Consumer		Local-first open-source apps with shared memory	共享记忆的本地优先开源应用
81	Candytrail	B2B · Sales		AI-driven sales coaching for in-person retail	面向线下零售的 AI 销售辅导
82	Embedder	B2B · Dev Tools		Developer tools for embedded software engineers	面向嵌入式工程师的开发者工具
83	Flai	Industrials · Automotive		AI workers for car dealerships	面向汽车经销商的 AI 数字员工
84	b12 labs	Healthcare · Drug Discovery		AI chemical synthesis platform	AI 化学合成平台
85	Fulcrum Research	B2B · Analytics		AI research lab scaling human intent	放大人类意图的 AI 研究实验室
86	Trace	B2B · Productivity		AI orchestration layer for modern teams	面向现代团队的 AI 编排层
87	IronLedger.ai	Real Estate		AI charge cards for real estate accounting	面向地产财务的 AI 商务卡
88	Doe Labs	B2B · Operations		AI workforce for enterprise work	面向企业工作的 AI 数字员工
89	Louiza Labs	Healthcare		Simulative biology platform for advanced research	面向前沿研究的仿真生物学平台
90	Parachute	Healthcare		Governance infrastructure for clinical AI	临床 AI 的治理基础设施
91	Riverbank Security	B2B · Security		AI-native continuous penetration testing	AI 原生的持续渗透测试服务
92	Kalinda AI	B2B · Legal		AI vetting engine for mass tort firms	面向群体侵权律所的 AI 筛查引擎
93	Stellon Labs	B2B · Infrastructure		Tiny AI models for edge devices	面向边缘设备的微型 AI 模型
94	BootLoop	Industrials		AI firmware engineering for hardware teams	面向硬件团队的 AI 固件工程
95	Nexa	Industrials · Agriculture		Implantable cattle monitoring microchips	可植入的牲畜监测芯片
96	Induction Labs	B2B · Infrastructure		AI agents for computer automation	面向电脑自动化的 AI 智能体
97	CoCreate	B2B · Content		AI post-production workflow for editors	面向剪辑师的 AI 后期工作流
98	Slashy AI	B2B · Productivity		AI for productivity and task automation	面向效率与任务自动化的 AI
99	Wedge	Healthcare		Operating system for healthcare AI agents	医疗 AI 智能体的操作系统
100	CareSwift	Healthcare		AI-powered EMS documentation and compliance	面向急救(EMS)的 AI 文书与合规
101	Fossorial	B2B · Security		Secure access platform for application delivery	面向应用交付的安全访问平台
102	Kestroll	B2B · Media		AI-powered media asset management platform	AI 媒资管理平台
103	Tesora	Fintech · Insurance		Frontier AI for actuaries	面向精算师的前沿 AI
104	DeepAware AI	Industrials · Robotics		AI-powered robotics for data centers	面向数据中心的 AI 机器人
105	Sidekick	B2B · Productivity		Natural-language workflow automation platform	自然语言驱动的工作流自动化平台
106	Keystone AI	B2B · Dev Tools		AI-driven software maintenance for developers	面向开发者的 AI 软件维护
107	DeepGrove	B2B · Infrastructure		Efficient edge AI models for devices	面向设备的高效边缘 AI 模型
108	Skope	B2B · Legal		AI legal agents for law firms	面向律所的 AI 法律智能体
109	OnDeck AI	B2B · AI		Visual intelligence without labeled data	无需标注数据的视觉智能
110	Alter	B2B · Security		Unified zero-trust authorization for AI agents	面向 AI 智能体的统一零信任授权
111	Imprezia	B2B · Marketing		AI-native ad network for conversations	面向对话场景的 AI 原生广告网络
112	Lilac	B2B · Infrastructure		OpenAI-compatible inference on idle GPUs	在闲置 GPU 上跑兼容 OpenAI 的推理
113	Janet AI	B2B · Operations		AI-native ticket triage and management	AI 原生的工单分诊与管理
114	Cyberdesk	B2B · Infrastructure		Self-learning Windows computer-use agent	自学习的 Windows 电脑操作智能体
115	Qualify.bot	Fintech · Voice		AI voice for commercial loan brokerage	面向商业贷款经纪的语音 AI
116	Panels	B2B · AI		High-quality audio datasets for Voice AI	面向语音 AI 的高质量音频数据集
117	Herdora	B2B · Infrastructure		AI that optimizes performance at hardware speed	以硬件速度优化性能的 AI
118	Nuntius	B2B		AI-driven communication solutions for businesses	面向企业的 AI 通信方案
119	Orange Slice	B2B · Sales		AI GTM workflows for sales teams	面向销售团队的 AI GTM 工作流
120	Monarcha	B2B · Analytics		AI geospatial intelligence for maps	面向地图的 AI 地理空间智能
121	Design Arena	B2B · AI		Crowdsourced AI design benchmark	众包式的 AI 设计基准测试
122	EffiGov	Government		AI-powered voice solution for local government	面向地方政府的 AI 语音方案
123	Bitrig	B2B · Dev Tools		AI-driven app development on mobile devices	在移动设备上做 AI 应用开发
124	Lark	B2B · Fintech		AI-native billing platform for complex pricing	面向复杂定价的 AI 原生计费平台
125	Topological	Industrials · Engineering		Physics-based CAD optimization models	基于物理的 CAD 优化模型
126	datafruit	B2B · Dev Tools		First agentic DevOps engineer for operations	首个面向运维的智能体 DevOps 工程师
127	ContextFort	B2B · Security		Security controls for AI browser agents	面向 AI 浏览器智能体的安全管控
128	ZeroEval	B2B · Infrastructure		AI evaluation platform for agent improvement	面向智能体改进的 AI 评测平台
129	Verne Robotics	Industrials · Robotics		Physical AI robots for fulfillment	面向履约的物理 AI 机器人
130	Pharmie AI	Healthcare		AI-powered pharmacy assistant	AI 药房助手
131	Liva AI	B2B · AI		Human audio datasets for voice AI	面向语音 AI 的真人音频数据集
132	Pond	B2B · Infrastructure		Message API for AI apps with privacy controls	带隐私管控的 AI 应用消息 API
133	Ghostship	B2B · Engineering		AI agents for autonomous bug detection	自主排查 bug 的 AI 智能体
134	Shor	B2B · HR		Fast, affordable global payroll and EOR	快速、低成本的全球薪酬与名义雇主(EOR)
135	Golpo	B2B · Content		AI-powered content creation for audio and video	面向音视频的 AI 内容创作
136	Async	B2B · Dev Tools		Open-source dev tool for AI coding & task mgmt	面向 AI 编码与任务管理的开源开发工具
137	Lanesurf	B2B · Logistics		AI freight brokerage for carrier sourcing	面向运力寻源的 AI 货运经纪
138	Gaus	Fintech		AI investment analyst for decision-making	面向投资决策的 AI 分析师
139	Blank Bio	Healthcare · Drug Discovery		AI RNA models for precision oncology	面向精准肿瘤学的 AI RNA 模型
140	Truth Systems	B2B · Compliance		AI governance and compliance browser agent	AI 治理与合规的浏览器智能体
141	AgentMail	B2B · Infrastructure		Email inbox API for AI agents	面向 AI 智能体的邮箱 API
142	TraceRoot.AI	B2B · Infrastructure		Self-healing observability for AI agents	面向 AI 智能体的自愈式可观测性
143	MangoDesk	B2B · AI		RL environments for AI evals	面向 AI 评测的强化学习环境
144	Prompting Company	B2B · Marketing		AI visibility for software products	面向软件产品的 AI 可见度(GEO)
145	Acrely AI	B2B · Voice		Enterprise voice agents for on-prem deployments	面向本地部署的企业语音智能体
146	Dedalus Labs	B2B · Infrastructure		Persistent Linux machines for AI agents	面向 AI 智能体的持久化 Linux 机器
147	Closera	Consumer		AI shopping agent for online stores	面向网店的 AI 购物智能体
148	Meteor	B2B · Infrastructure		Agentic browser with 96.5% WebVoyager accuracy	WebVoyager 准确率 96.5% 的智能体浏览器
149	GetASAP ASIA	B2B · Logistics		8-hour inventory delivery for retailers	面向零售商的 8 小时备货配送
150	Pingo AI	Consumer · Education		AI language practice partner	AI 语言练习搭子
151	Rid	Consumer		Sell items effortlessly through text and photos	用文字和照片轻松卖闲置
152	Synthetic Society	B2B · Engineering		Synthetic users for QA and UX testing	面向 QA 与 UX 测试的合成用户
153	Cactus	B2B · Infrastructure		On-device AI with cloud fallback	端侧 AI、云端兜底
154	Nixo	B2B · Operations		Ops platform for forward-deployed teams	面向前置部署团队的运营平台
155	Serafis	Fintech		Narrative intelligence for investors	面向投资者的叙事情报
156	Wayline	Real Estate · Voice		AI phone operator for real estate	面向房地产的 AI 电话接线员
157	Ambral	B2B · Sales		AI account manager for enterprise revenue	面向企业营收的 AI 客户经理
158	Fluidize	B2B · Science		AI-driven simulations for scientific research	面向科研的 AI 仿真
159	Autumn	B2B · Fintech		Open-source billing layer for AI startups	面向 AI 初创的开源计费层
160	Stormy AI	B2B · Marketing		AI employee for creator campaigns	面向达人营销的 AI 数字员工
